bins	nicknames	descriptive_nickname	anvio_tax_name	gtdbk_tax_name	final_tax	short_name	color_code
mag_2582580531	MAG_001	NOD-531	Cyanobacteria;Cyanobacteriia;Phormidesmiales;Phormidesmiaceae;Nodosilinea;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__;s__	scg_Cyanobacteria;Cyanobacteriia;Phormidesmiales;Phormidesmiaceae;Nodosilinea;None	Phormidesmiaceae	#784212
mag_2582580577	MAG_002	CYM-577	Cyanobacteria;Cyanobacteriia;PCC-6307;Cyanobiaceae;None;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Cyanobiaceae	#0B5345
mag_2582580591	MAG_003	VAM-591	Cyanobacteria;Vampirovibrionia;Caenarcaniphilales;LMEP-6097;LMEP-6097;LMEP-6097 sp005110385	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Caenarcaniphilales;f__;g__;s__	scg_Cyanobacteria;Vampirovibrionia;Caenarcaniphilales;LMEP-6097;LMEP-6097;LMEP-6097 sp005110385	Vampirovibronia	#922B21
mag_3300020490_bin6	MAG_004	APH-490	Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Dolichospermum;Dolichospermum flosaquae	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__UKL13-PB;s__UKL13-PB sp001593825	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__UKL13-PB;s__UKL13-PB sp001593825	Nostocaceae	#17202A
mag_3300020501_bin15	MAG_005	PLX-501	Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcoleaceae;Planktothrix;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Planktothrix;s__Planktothrix agardhii	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Planktothrix;s__Planktothrix agardhii	Phormidesmiaceae	#F39C12
mag_3300020509_bin3	MAG_006	CYM-509	Cyanobacteria;Cyanobacteriia;PCC-6307;Cyanobiaceae;None;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__PCC7001;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__PCC7001;s__	Cyanobiaceae	#117A65
mag_3300020517_bin16	MAG_007	Msyn-517	Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;None;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Synechocystis;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Synechocystis;s__	Microcystaceae	#5B2C6F
mag_3300020539_bin6	MAG_008	CYM-539	Cyanobacteria;Cyanobacteriia;PCC-6307;Cyanobiaceae;None;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Cyanobiaceae	#16A085
mag_3300020542_bin8	MAG_009	DOL-542	Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Dolichospermum;Dolichospermum sp000312705	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__LE011-02;s__LE011-02 sp000312705	scg_Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Dolichospermum;Dolichospermum sp000312705	Nostocaceae	#21618C
mag_3300020547_bin20	MAG_010	VUL-547	Cyanobacteria;Cyanobacteriia;PCC-6307;Cyanobiaceae;Vulcanococcus;Vulcanococcus sp903934375	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Vulcanococcus;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Vulcanococcus;s__	Cyanobiaceae	#76D7C4
mag_3300020551_bin8	MAG_011	CYM-551	Cyanobacteria;Cyanobacteriia;PCC-6307;Cyanobiaceae;Cyanobium;Cyanobium sp014191755	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Cyanobiaceae	#28B463
mag_3300020558_bin31	MAG_012	VAM-558	Cyanobacteria;Vampirovibrionia;Caenarcaniphilales;Caenarcanaceae;LMEP-10873;LMEP-10873 sp005110395	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Caenarcaniphilales;f__Caenarcanaceae;g__;s__	scg_Cyanobacteria;Vampirovibrionia;Caenarcaniphilales;Caenarcanaceae;LMEP-10873;LMEP-10873 sp005110395	Vampirovibronia	#EC7063
mag_3300020571_bin11	MAG_013	CYM-571	Cyanobacteria;Cyanobacteriia;PCC-6307;Cyanobiaceae;None;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__;s__	Cyanobiaceae	#2ECC71
mag_3300020573_bin18	MAG_014	Maer-573	Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Microcystis;None	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa_A	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa_A	Microcystaceae	#BB8FCE
mag_GEODES117_bin31	MAG_015	CYM-117	Cyanobacteria;Cyanobacteriia;PCC-6307;Cyanobiaceae;UBA5018;UBA5018 sp001039265	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__PCC7001;s__	gtdbk_d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__PCC7001;s__	Cyanobiaceae	#82E0AA
